Rocket|mission|Agency|date|Location|Remaining date
Proton-M|MLM Nauka|Khrunichev State Research and Production Space Center|07/11/2018|Baikonur Cosmodrome, Republic of Kazakhstan|
Electron|VCLS ELaNa XIX|Rocket Lab Ltd|30/11/2018|Onenui Station, Mahia Peninsula, New Zealand|
Soyuz 2.1B/Fregat-M|Glonass-M|Russian Space Forces|02/11/2018|Plesetsk Cosmodrome, Russian Federation|
Falcon 9 Block 5|Es'hail 2|SpaceX|14/11/2018|Kennedy Space Center, FL, USA|
Falcon 9 Block 5|Spaceflight SSO-A|SpaceX|19/11/2018|Vandenberg AFB, CA, USA|
Falcon Heavy|Arabsat-6A|SpaceX|30/11/2018|Kennedy Space Center, FL, USA|
Falcon 9 Block 5|KPLO|SpaceX|30/11/2018|Cape Canaveral, FL, USA|
Delta IV Heavy|NROL-71|United Launch Alliance|28/11/2018|Vandenberg AFB, CA, USA|
Atlas V 401|Landsat 9|United Launch Alliance|30/11/2018|Vandenberg AFB, CA, USA|
Ariane 5 ECA|BepiColombo|Arianespace|19/10/2019|Kourou, French Guiana|
Ariane 5 ECA|Hellas Sat 4/SaudiGeoSat-1|Arianespace|31/10/2018|Kourou, French Guiana|
Long March 2C|CFOSAT|China Aerospace Science and Technology Corporation|29/10/2018|Jiuquan, People's Republic of China|
Long March 3B|SupremeSAT-2|China Great Wall Industry Corporation|31/10/2018|Unknown Location|
GSLV Mk III|GSAT-29|Indian Space Research Organization|31/10/2018|Sriharikota, Republic of India|
GSLV Mk II|GSAT-7A|Indian Space Research Organization|31/10/2018|Sriharikota, Republic of India|
Soyuz-FG|Progress MS-10 (71P)|Khrunichev State Research and Production Space Center|31/10/2018|Baikonur Cosmodrome, Republic of Kazakhstan|
Electron|It's Business Time|Rocket Lab Ltd|31/10/2018|Onenui Station, Mahia Peninsula, New Zealand|
Soyuz-FG|Soyuz MS-14|Russian Federal Space Agency (ROSCOSMOS)|10/10/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz 2.1A|Soyuz MS-16|Russian Federal Space Agency (ROSCOSMOS)|20/10/2018|Baikonur Cosmodrome, Republic of Kazakhstan|
Soyuz 2.1B|Lotos-S1|Russian Space Forces|24/10/2018|Plesetsk Cosmodrome, Russian Federation|
Falcon 9 Block 5|Sentinel-6A (Jason-CS)|SpaceX|31/10/2018|Vandenberg AFB, CA, USA|
Ariane 5 ECA|ViaSat-3|Arianespace|30/09/2019|Kourou, French Guiana|
Ariane 62|2xGalileo|Arianespace|30/09/2019|Kourou, French Guiana|
SSLV|Demo 2|Indian Space Research Organization|30/09/2019|Sriharikota, Republic of India|
Proton-M/Blok DM-03|Elektro-L No.5|Khrunichev State Research and Production Space Center|30/09/2019|Baikonur Cosmodrome, Republic of Kazakhstan|
Falcon 9 Block 5|Spaceflight GTO-2|SpaceX|30/09/2019|Cape Canaveral, FL, USA|
Falcon 9 Block 5|SpX CRS-19|SpaceX|30/09/2019|Cape Canaveral, FL, USA|
Falcon Heavy|Ovzon-3|SpaceX|30/09/2019|Kennedy Space Center, FL, USA|
Atlas V 552|Dream Chaser CRS-2 Demo Flight|United Launch Alliance|29/09/2019|Cape Canaveral, FL, USA|
Atlas V 552|Dream Chaser Test Flight|United Launch Alliance|30/09/2019|Cape Canaveral, FL, USA|
